longitude,latitude,CanopyCover,Aspect,Elevation,SlopeD,CanopyBulkDensity,CanopyBaseHeight,CanopyHeight,40FireBehaviorFuel,PopDensity,BuildingDensity,HUDen
-117.2289795,47.44358535,0.0,107.0,749.0,3.0,0.0,0.0,0.0,93.0,0.0,0.0,0.0
-117.2456683,47.75252253,55.0,241.0,685.0,17.0,11.0,3.0,55.0,162.0,25.0,8.0,8.0
-117.0430597,47.53289631,0.0,170.0,814.0,8.0,0.0,0.0,0.0,102.0,21.0,16.0,8.0
-117.441402,47.79997841,0.0,104.0,664.0,5.0,0.0,0.0,0.0,122.0,10.0,8.0,3.0
-117.3207256,47.35138131,45.0,-1.0,737.0,0.0,12.0,3.0,45.0,161.0,0.0,0.0,0.0
-117.0951344,47.43353817,0.0,287.0,745.0,4.0,0.0,0.0,0.0,93.0,0.0,8.0,1.0
-117.3591636,47.46962151,0.0,-1.0,752.0,1.0,0.0,0.0,0.0,121.0,0.0,0.0,0.0
-117.5564148,47.5628413,0.0,58.0,786.0,7.0,0.0,0.0,0.0,102.0,0.0,0.0,0.0
-117.7071343,47.3022114,0.0,-1.0,655.0,1.0,0.0,0.0,0.0,102.0,0.0,0.0,0.0
-117.4034392,47.57195055,35.0,299.0,613.0,10.0,9.0,3.0,35.0,162.0,218.0,130.0,87.0
-117.5350191,47.76099845,0.0,235.0,504.0,3.0,0.0,0.0,0.0,91.0,39.0,33.0,18.0
-117.3162059,47.4982518,15.0,288.0,637.0,29.0,3.0,94.0,15.0,184.0,0.0,0.0,0.0
-117.2874569,47.65560552,0.0,-1.0,605.0,0.0,0.0,0.0,0.0,91.0,81.0,162.0,29.0
-117.4655876,47.27729318,0.0,-1.0,745.0,2.0,0.0,0.0,0.0,93.0,0.0,0.0,0.0
-117.5225283,47.77896827,0.0,-1.0,472.0,2.0,0.0,0.0,0.0,122.0,0.0,0.0,0.0
-117.5298823,47.49196802,0.0,-1.0,702.0,0.0,0.0,0.0,0.0,98.0,0.0,0.0,0.0
-117.6354044,47.7530474,45.0,153.0,726.0,9.0,8.0,3.0,45.0,188.0,0.0,0.0,0.0
-117.3591483,47.63257049,0.0,279.0,702.0,3.0,0.0,0.0,0.0,91.0,2003.0,989.0,828.0
-117.5736948,47.69692085,0.0,-1.0,713.0,1.0,0.0,0.0,0.0,122.0,0.0,0.0,0.0
-117.3977446,47.80150558,0.0,-1.0,560.0,1.0,0.0,0.0,0.0,91.0,1832.0,649.0,595.0
-117.5946591,47.67433465,0.0,-1.0,708.0,2.0,0.0,0.0,0.0,91.0,122.0,89.0,34.0
-117.1476248,47.90406957,85.0,342.0,1210.0,10.0,30.0,14.0,85.0,165.0,0.0,0.0,0.0
-117.1082591,47.27036276,0.0,21.0,851.0,6.0,0.0,0.0,0.0,91.0,9.0,16.0,4.0
-117.3748738,47.57846651,0.0,143.0,698.0,11.0,0.0,0.0,0.0,122.0,0.0,0.0,0.0
-117.6709667,47.47344077,0.0,-1.0,724.0,1.0,0.0,0.0,0.0,102.0,16.0,16.0,7.0
-117.0811083,47.76768371,0.0,-1.0,648.0,0.0,0.0,0.0,0.0,102.0,0.0,0.0,0.0
-117.2646121,47.39349248,35.0,54.0,719.0,12.0,6.0,10.0,35.0,162.0,0.0,0.0,0.0
-117.1009029,47.82552735,45.0,-1.0,669.0,1.0,1.0,100.0,45.0,161.0,31.0,32.0,12.0
-117.399847,47.84306229,25.0,112.0,601.0,3.0,1.0,100.0,25.0,102.0,11.0,8.0,4.0
-117.3875458,47.55617546,0.0,349.0,577.0,6.0,0.0,0.0,0.0,122.0,10.0,9.0,6.0
-117.3204141,47.30786062,0.0,220.0,766.0,7.0,0.0,0.0,0.0,93.0,0.0,0.0,0.0
-117.1184099,48.01076586,0.0,102.0,1039.0,21.0,0.0,0.0,0.0,122.0,0.0,0.0,0.0
-117.3205441,47.61788118,0.0,266.0,743.0,7.0,0.0,0.0,0.0,93.0,129.0,105.0,49.0
-117.1181887,47.92542029,35.0,310.0,1644.0,19.0,6.0,13.0,35.0,142.0,0.0,0.0,0.0
-117.4400817,47.31231421,0.0,160.0,739.0,4.0,0.0,0.0,0.0,93.0,0.0,0.0,0.0
-117.4426176,47.91274325,0.0,261.0,604.0,4.0,0.0,0.0,0.0,121.0,49.0,32.0,16.0
-117.6642869,47.76476906,0.0,-1.0,745.0,0.0,0.0,0.0,0.0,122.0,27.0,24.0,9.0
-117.2681016,47.9975792,55.0,-1.0,617.0,0.0,11.0,3.0,55.0,188.0,58.0,49.0,19.0
-117.5299278,47.5442725,0.0,126.0,740.0,3.0,0.0,0.0,0.0,91.0,98.0,81.0,36.0
-117.7393926,47.81660706,45.0,-1.0,562.0,2.0,8.0,25.0,45.0,188.0,0.0,0.0,0.0
-117.5586138,47.73754291,0.0,-1.0,547.0,1.0,0.0,0.0,0.0,99.0,0.0,0.0,0.0
-117.1826738,47.81095877,25.0,237.0,815.0,17.0,4.0,36.0,25.0,162.0,0.0,0.0,0.0
-117.4637243,47.65353407,45.0,32.0,582.0,12.0,8.0,10.0,45.0,185.0,1123.0,503.0,437.0
-117.6232256,47.62312561,0.0,-1.0,735.0,1.0,0.0,0.0,0.0,122.0,0.0,0.0,0.0
-117.2659641,47.71621471,0.0,-1.0,737.0,2.0,0.0,0.0,0.0,93.0,0.0,0.0,0.0
-117.7351678,47.49397609,0.0,-1.0,720.0,1.0,0.0,0.0,0.0,122.0,0.0,0.0,0.0
-117.5200447,47.61685059,0.0,-1.0,723.0,0.0,0.0,0.0,0.0,91.0,0.0,0.0,0.0
-117.4106035,47.66437898,0.0,-1.0,574.0,1.0,0.0,0.0,0.0,91.0,843.0,143.0,547.0
-117.4329538,47.9761632,0.0,-1.0,674.0,0.0,0.0,0.0,0.0,122.0,0.0,16.0,0.0
-117.7843674,47.58923294,0.0,-1.0,743.0,2.0,0.0,0.0,0.0,102.0,0.0,0.0,0.0
-117.3279797,47.4289599,0.0,210.0,782.0,5.0,0.0,0.0,0.0,91.0,41.0,89.0,17.0
-117.1285389,47.86979959,0.0,130.0,981.0,20.0,0.0,0.0,0.0,143.0,0.0,0.0,0.0
-117.36581,47.31360166,0.0,135.0,746.0,9.0,0.0,0.0,0.0,93.0,0.0,0.0,0.0
-117.6551876,47.82410166,0.0,57.0,548.0,13.0,0.0,0.0,0.0,122.0,39.0,41.0,18.0
-117.43142,48.03279633,55.0,49.0,686.0,4.0,11.0,3.0,55.0,162.0,11.0,8.0,4.0
-117.7341824,47.6404211,0.0,-1.0,726.0,1.0,0.0,0.0,0.0,102.0,13.0,16.0,4.0
-117.6456412,47.6353648,0.0,-1.0,742.0,0.0,0.0,0.0,0.0,101.0,567.0,73.0,65.0
-117.113059,47.5659245,65.0,40.0,1149.0,14.0,16.0,14.0,65.0,165.0,0.0,0.0,0.0
