fid,LATITUDE,LONGITUDE
741525,47.65193,-117.49406
741526,47.6414,-117.494
741527,47.6428,-117.4894
741528,47.63025,-117.48906
741529,47.63386,-117.48902
741530,47.6403,-117.489
741531,47.62296,-117.48896
741532,47.61931,-117.48887
741533,47.6404,-117.4884
741534,47.6423,-117.4882
741535,47.6271,-117.4876
741536,47.6455,-117.4862
741537,47.6521,-117.4862
741538,47.6377,-117.4861
741539,47.6211,-117.4859
741540,47.6509,-117.4847
741541,47.64107,-117.48369
741542,47.6193,-117.48354
741543,47.65913,-117.48328
741544,47.637,-117.4831
741545,47.6402,-117.4831
741546,47.6402,-117.4831
741547,47.6303,-117.4826
741548,47.65617,-117.4824
741549,47.64876,-117.4947
741550,47.6488,-117.4922
741551,47.65216,-117.4819
741552,47.64862,-117.4877
741553,47.62192,-117.5005
741554,47.64159,-117.489
741555,47.64373,-117.5012
741556,47.64264,-117.4841
741557,47.63629,-117.4859
741558,47.6412,-117.7042
741559,47.6414,-117.7254
741560,47.6426,-117.6975
741561,47.6509,-117.6992
741562,47.65998001,-117.7632
741563,47.67042,-117.70893
741564,47.67456328,-117.7053925
741565,47.67707,-117.6975
741566,47.67763,-117.70353
741567,47.6778,-117.6981
741568,47.67965,-117.7115
741569,47.69277,-117.77375
741570,47.69373969,-117.7323429
741571,47.69981,-117.80616
741572,47.7071,-117.7049
741573,47.7127,-117.7371
741574,47.7145,-117.71
741575,47.7164,-117.724
741576,47.71778997,-117.7575
741577,47.7215,-117.7184
741578,47.7229,-117.7421
741579,47.7231,-117.7006
741580,47.72484,-117.7035
741581,47.72489,-117.7251
741582,47.7296,-117.7024
741583,47.73208,-117.70353
741584,47.73216,-117.7305
741585,47.69227,-117.7147
741586,47.71397,-117.7331
741587,47.64354,-117.7405
741588,47.6956,-117.7247
741589,47.71246612,-117.6990141
741590,47.646,-117.6818
741591,47.64847,-117.67122
741592,47.64848,-117.67657
741593,47.65115,-117.6493
741594,47.6552,-117.672
741595,47.6554,-117.6544
741596,47.6556,-117.64966
741597,47.66093939,-117.647797
741598,47.66293,-117.66572
741599,47.6647,-117.679
741600,47.66882,-117.6637
741601,47.6798,-117.6663
741602,47.6799,-117.6799
741603,47.68024,-117.6233
741604,47.68463,-117.6603
741605,47.68474,-117.67639
741606,47.68476,-117.68717
741607,47.6852,-117.6761
741608,47.69199,-117.68176
741609,47.692,-117.68718
741610,47.69541,-117.63346
741611,47.69556,-117.66569
741612,47.6956,-117.67642
741613,47.696143,-117.676252
741614,47.69917,-117.65491
741615,47.69923,-117.6603
741616,47.69928,-117.6657
741617,47.70114,-117.6472
741618,47.70288,-117.6389
741619,47.7048523,-117.6663342
741620,47.70699,-117.6448
741621,47.7085,-117.6348
741622,47.71015,-117.62291
741623,47.7106,-117.6324
741624,47.7124,-117.6229
741625,47.64091,-117.6622
741626,47.64994,-117.6717
741627,47.66026612,-117.6493141
741628,47.6551,-117.5212
741629,47.65578,-117.53166
741630,47.6777,-117.577
741631,47.68091,-117.57988
741632,47.6837,-117.6012
741633,47.69177,-117.60121
741634,47.698,-117.5801
741635,47.71,-117.55858
741636,47.72449,-117.58541
741637,47.7256,-117.5621
741638,47.7339,-117.5733
741639,47.7346,-117.5362
741640,47.73515,-117.54754
741641,47.73522,-117.56904
741642,47.7415,-117.5844
741643,47.74247,-117.57971
741644,47.74959,-117.59608
741645,47.6762,-117.6079
741646,47.65766,-117.5249
741647,47.75663,-117.58524
741648,47.67901,-117.593
741649,47.74565,-117.6061
741650,47.66984,-117.5901
741651,47.67062,-117.5765
741652,47.69042,-117.5759
741653,47.7162,-117.5625
741654,47.74261,-117.5697
741655,47.74412,-117.6139
741656,47.65685,-117.5335
741657,47.74694,-117.5673
741658,47.7472,-117.5778
741659,47.6653,-117.5276
741660,47.6653,-117.5491
741661,47.71476,-117.6157
741662,47.66941,-117.544
741663,47.7316,-117.5423
741664,47.66473,-117.5287
741665,47.72622,-117.5354
741666,47.71387,-117.5941
741667,47.66701,-117.5561
741668,47.69924,-117.573
741669,47.67024,-117.6118
741670,47.69843,-117.5343
741671,47.6624,-117.4782
741672,47.66271,-117.47779
741673,47.66271,-117.47779
741674,47.66273,-117.48318
741675,47.6628,-117.49923
741676,47.6636,-117.4774
741677,47.6657,-117.4714
741678,47.6663,-117.4777
741679,47.66636,-117.48845
741680,47.66652,-117.50992
741681,47.66652,-117.50992
741682,47.66652,-117.50992
741683,47.66989,-117.47765
741684,47.66996,-117.48837
741685,47.67002,-117.4937
741686,47.6732,-117.4948
741687,47.67359,-117.48833
741688,47.6739,-117.4927
741689,47.67723,-117.48835
741690,47.67857,-117.4883
741691,47.6795,-117.4901
741692,47.6797,-117.5062
741693,47.68086,-117.48837
741694,47.68086,-117.48837
741695,47.68094,-117.50451
741696,47.6819,-117.5025
741697,47.683,-117.4787
741698,47.6831,-117.4786
741699,47.6843,-117.5044
741700,47.6852,-117.5067
741701,47.68592,-117.5004
741702,47.68614,-117.5004
741703,47.68677,-117.4756
741704,47.6871,-117.4713
741705,47.67723,-117.48835
741706,47.67723,-117.48835
741707,47.6664,-117.49375
741708,47.67012,-117.50979
741709,47.6789,-117.4446
741710,47.67897,-117.4544
741711,47.67776,-117.4563
741712,47.68531,-117.4758
741713,47.66387,-117.458
741714,47.68118,-117.4648
741715,47.67913,-117.4531
741716,47.6653,-117.4633
741717,47.66572,-117.4583
741718,47.68634,-117.4955
741719,47.67431,-117.4506
741720,47.68121,-117.4809
741721,47.68691,-117.533
741722,47.68663,-117.5306
741723,47.68642,-117.5331
741724,47.72078,-117.4844
741725,47.68643,-117.531
741726,47.68533,-117.5324
741727,47.66835,-117.5221
741728,47.68735,-117.4604
741729,47.72811,-117.5155
741730,47.68129,-117.5182
741731,47.68818,-117.4612
741732,47.72149,-117.5164
741733,47.6898,-117.5331
741734,47.6893,-117.5291
741735,47.6941,-117.5211
741736,47.7308,-117.5022
741737,47.67709,-117.45609
741738,47.69189,-117.52633
741739,47.72471356,-117.4983188
741740,47.72073,-117.50494
741741,47.72072,-117.51033
741742,47.71344,-117.49961
741743,47.70984,-117.4996
741744,47.70625,-117.49419
741745,47.70625,-117.49419
741746,47.70624,-117.49955
741747,47.70623,-117.505
741748,47.69907,-117.5318
741749,47.69904,-117.51034
741750,47.69902,-117.4994
741751,47.69894,-117.478
741752,47.69528,-117.47244
741753,47.69528,-117.4724
741754,47.69182,-117.51013
741755,47.68468,-117.5316
741756,47.68106,-117.53152
741757,47.68106,-117.53152
741758,47.6797,-117.5276
741759,47.67742,-117.52605
741760,47.67822,-117.5263
741761,47.69685,-117.5254
741762,47.69139,-117.5167
741763,47.72799,-117.51567
741764,47.72447,-117.46202
741765,47.69585,-117.4621
741766,47.69173,-117.467
741767,47.72632,-117.4697
741768,47.72439,-117.5049
741769,47.72151,-117.4993
741770,47.66942,-117.5149
741771,47.76042,-117.44554
741772,47.75684,-117.44549
741773,47.7558,-117.4411
741774,47.75311,-117.4349
741775,47.75969,-117.4301
741776,47.74586,-117.4299
741777,47.74737,-117.4297
741778,47.744,-117.4293
741779,47.7526,-117.4267
741780,47.74513,-117.4261
741781,47.75665,-117.42453
741782,47.736806,-117.42177
741783,47.7552,-117.4211
741784,47.7458,-117.41947
741785,47.73496,-117.41944
741786,47.7568,-117.4171
741787,47.7572,-117.4094
741788,47.74213,-117.40878
741789,47.75708,-117.4086
741790,47.7558,-117.4072
741791,47.7538,-117.405
741792,47.7617,-117.4035
741793,47.74934,-117.40333
741794,47.75956,-117.4032
741795,47.7579,-117.4026
741796,47.7454,-117.4023
741797,47.77546,-117.510618
741798,47.78197,-117.51017
741799,47.76404,-117.51005
741800,47.7658,-117.5074
741801,47.76085367,-117.5067182
741802,47.739,-117.5048
741803,47.739,-117.5048
741804,47.78015,-117.5046
741805,47.756,-117.5015
741806,47.77299,-117.5013
741807,47.73900431,-117.4997743
741808,47.73536,-117.4994
741809,47.76413,-117.4993
741810,47.76413,-117.49926
741811,47.7574,-117.4948
741812,47.73901998,-117.494
741813,47.76415,-117.4939
741814,47.7606,-117.49387
741815,47.76415,-117.49387
741816,47.76414,-117.48312
741817,47.76772,-117.48312
741818,47.7714,-117.4782
741819,47.78218,-117.47259
741820,47.7529,-117.4709
741821,47.7814,-117.4669
741822,47.78014,-117.4644
741823,47.7372,-117.4643
741824,47.77484,-117.46178
741825,47.77484,-117.46178
741826,47.73853,-117.5049
741827,47.73891,-117.4773
741828,47.73366,-117.4842
741829,47.75299,-117.55818
741830,47.76736,-117.553
741831,47.76012,-117.55289
741832,47.78127,-117.5496
741833,47.76373,-117.54758
741834,47.75654002,-117.5475
741835,47.74584,-117.54732
741836,47.74939,-117.542
741837,47.7801,-117.5376
741838,47.753,-117.53673
741839,47.7498,-117.5325
741840,47.76355,-117.5322
741841,47.7412,-117.5265
741842,47.75898,-117.5263
741843,47.75319,-117.52613
741844,47.76031,-117.5261
741845,47.75862,-117.5218
741846,47.74767,-117.5215
741847,47.73895,-117.52101
741848,47.74607,-117.5203
741849,47.7681,-117.5187
741850,47.75689,-117.5154
741851,47.7458,-117.5145
741852,47.752,-117.5488
741853,47.75962,-117.5586
741854,47.73905,-117.7109
741855,47.74593012,-117.7537642
741856,47.74816748,-117.696598
741857,47.75026,-117.71982
741858,47.75749,-117.70379
741859,47.7576,-117.74146
741860,47.75764,-117.74683
741861,47.75764,-117.74683
741862,47.7583,-117.7534
741863,47.76111,-117.71995
741864,47.76123,-117.74148
741865,47.76123,-117.74148
741866,47.76127,-117.74686
741867,47.76135,-117.76307
741868,47.76234892,-117.7028584
741869,47.76471,-117.70925
741870,47.76475,-117.7253
741871,47.76477,-117.73072
741872,47.76486,-117.7469
741873,47.7661,-117.7206
741874,47.7668,-117.7873
741875,47.76836,-117.69852
741876,47.76836,-117.69852
741877,47.76849,-117.75226
741878,47.77192,-117.71471
741879,47.75368,-117.7681
741880,47.756,-117.7446
741881,47.75600612,-117.7446141
741882,47.7577,-117.6067
741883,47.7659,-117.6147
741884,47.7749,-117.6407
741885,47.77496,-117.60163
741886,47.77517,-117.6392
741887,47.77517,-117.6392
741888,47.7752,-117.64457
741889,47.78257,-117.65548
741890,47.7911,-117.6224
741891,47.79326,-117.6285
741892,47.7949,-117.6563
741893,47.7966,-117.6715
741894,47.8008,-117.65006
741895,47.8027,-117.6259
741896,47.805,-117.6128
741897,47.8091,-117.6191
741898,47.8113,-117.6152
741899,47.81153,-117.6394
741901,47.81507,-117.6341
741904,47.81878,-117.64482
741905,47.8217,-117.657
741907,47.82246,-117.66116
741908,47.8094,-117.6152
741909,47.7976,-117.6195
741910,47.77289,-117.6059
741911,47.76098,-117.65531
741912,47.7573,-117.629
741913,47.75646,-117.6718
741914,47.75742,-117.6552
741915,47.78399,-117.6167
741916,47.7986,-117.5995
741917,47.7615,-117.3958
741918,47.76372,-117.37643
741919,47.76373,-117.38178
741920,47.76446,-117.3883
741921,47.76473,-117.3891
741922,47.76566,-117.4015
741923,47.76741,-117.39778
741924,47.7677,-117.4003
741925,47.76899,-117.3856
741926,47.76948,-117.3847
741927,47.7699,-117.3818
741928,47.7738,-117.4088
741929,47.77442,-117.3974
741930,47.77738,-117.4011
741931,47.7783,-117.40297
741932,47.77917,-117.4025
741933,47.78147,-117.3759
741934,47.7846,-117.4064
741935,47.7855,-117.39207
741936,47.78762,-117.3848
741937,47.78904,-117.38134
741938,47.79111,-117.4007
741939,47.79341,-117.3919
741940,47.76436,-117.381
741941,47.77623,-117.4061
741942,47.78081615,-117.4045141
741943,47.7637,-117.4611
741944,47.76382,-117.4245
741945,47.76739,-117.42448
741946,47.76752,-117.44563
741947,47.76752002,-117.4456
741948,47.7678,-117.4427
741949,47.77091,-117.42966
741950,47.7713,-117.441
741951,47.77449,-117.4468
741952,47.77467,-117.41373
741953,47.7754,-117.4293
741954,47.7755,-117.4152
741955,47.7781,-117.4418
741956,47.77823,-117.41901
741957,47.7811,-117.421
741958,47.7817,-117.4466
741959,47.7835,-117.4448
741960,47.784,-117.4243
741961,47.7844,-117.4164
741962,47.78475,-117.4281
741963,47.78539,-117.41349
741964,47.78554,-117.45113
741965,47.78896,-117.41879
741966,47.7904,-117.4356
741967,47.79634,-117.4457
741968,47.76268,-117.458
741969,47.77477,-117.438
741970,47.76327,-117.4564
741971,47.76748,-117.4102
741972,47.76451,-117.4453
741973,47.78194,-117.411
741974,47.76534,-117.446
741975,47.78588,-117.4132
741976,47.79293,-117.59098
741982,47.7698,-117.583
741989,47.7783,-117.5771
741992,47.7674,-117.5716
741993,47.7944,-117.5716
741998,47.79047,-117.589
742000,47.79464,-117.5935
742003,47.77464,-117.5921
742005,47.76944,-117.5951
742008,47.8067,-117.7484
742009,47.7779,-117.748
742011,47.80821,-117.74766
742015,47.7805,-117.7421
742016,47.79015,-117.73148
742017,47.81549,-117.73143
742018,47.79372,-117.726
742019,47.8093,-117.7206
742020,47.8237,-117.7206
742021,47.83339,-117.72059
742022,47.83702,-117.7204
742023,47.8348,-117.719
742024,47.7791,-117.7173
742025,47.78638,-117.71514
742026,47.7944,-117.7106
742027,47.7973,-117.7098
742028,47.83678292,-117.7088922
742029,47.83338,-117.70426
742030,47.8012,-117.7041
742031,47.8261,-117.7013
742032,47.837,-117.69884
742033,47.8091,-117.6891
742035,47.83343,-117.6957
742036,47.83897,-117.7169
742041,47.7942,-117.5503
742049,47.78537,-117.53186
742050,47.79263,-117.53184
742051,47.8526,-117.5297
742052,47.8254,-117.5292
742053,47.8253,-117.5291
742054,47.8413,-117.5272
742055,47.8249,-117.5271
742056,47.80632,-117.5258
742057,47.78543,-117.52089
742058,47.8236,-117.5077
742059,47.7896,-117.5005
742060,47.78557,-117.49961
742061,47.8366,-117.49475
742062,47.7936,-117.4896
742063,47.7822,-117.486
742064,47.80953,-117.4818
742065,47.8124,-117.4798
742066,47.8081,-117.4776
742067,47.78586,-117.4938
742068,47.84373,-117.5117
742071,47.82836,-117.5051
742074,47.79341,-117.5479
742075,47.80729,-117.5049
742077,47.8059,-117.7999
742082,47.8012,-117.79598
742089,47.7986,-117.7907
742090,47.79392,-117.79057
742094,47.81918,-117.76938
742095,47.79381,-117.76902
742098,47.8273,-117.7575
742099,47.82635,-117.75321
742100,47.81551,-117.7532
742101,47.80821,-117.75309
742104,47.79998,-117.7647
742105,47.80207,-117.7946
742107,47.79496,-117.7964
742108,47.80252,-117.7933
742110,47.8033759,-117.8197113
742111,47.80486,-117.80673
742112,47.8063,-117.8064
742113,47.81209999,-117.8178
742114,47.814,-117.8168
742143,47.79902,-117.8143
742144,47.79946,-117.8155
742145,47.8087,-117.434
742146,47.8093,-117.4204
742147,47.8108588,-117.4131735
742148,47.81087,-117.42441
742149,47.8109,-117.41902
742150,47.81448,-117.42973
742151,47.81451,-117.4245
742152,47.81812,-117.42979
742153,47.81815,-117.42455
742154,47.82205,-117.4308
742155,47.82343,-117.44149
742156,47.8237,-117.4204
742157,47.8242,-117.4116
742158,47.8294,-117.4139
742159,47.83262,-117.4459
742160,47.83273,-117.41927
742161,47.83273,-117.41927
742162,47.83273,-117.4139
742163,47.8337,-117.4437
742164,47.83621,-117.4622
742165,47.8381,-117.4633
742166,47.84002,-117.4245
742167,47.84718,-117.44614
742168,47.85094,-117.46246
742169,47.8525,-117.4418
742170,47.85255,-117.4561
742171,47.8531,-117.4696
742172,47.81837,-117.427
742173,47.83621,-117.45138
742174,47.83262,-117.44592
742175,47.81086,-117.44043
742176,47.81918,-117.4179
742177,47.82523,-117.4184
