fid,LATITUDE,LONGITUDE,CanopyCover,Aspect,Elevation,SlopeD,CanopyBulkDensity,CanopyBaseHeight,CanopyHeight,40FireBehaviorFuel,PopDensity,BuildingDensity,HUDen
741294,47.6061,-117.4648,0,-1,707,0,0,0,0,91,170,81,54
741295,47.5891,-117.4838,0,-1,713,1,0,0,0,91,128,49,39
741296,47.5458,-117.465,35,-1,718,1,6,37,35,162,20,16,8
741297,47.6061,-117.4647,0,-1,707,0,0,0,0,91,170,81,54
741298,47.5745,-117.4865,0,-1,714,1,0,0,0,122,0,0,0
741299,47.57063,-117.49473,35,80,668,22,6,10,35,162,0,0,0
741300,47.59259,-117.48912,0,-1,713,1,0,0,0,91,1182,454,361
741301,47.5713,-117.4835,0,169,656,21,0,0,0,142,0,0,0
741302,47.5487,-117.5012,0,340,715,3,0,0,0,122,10,8,3
741303,47.5585,-117.5016,0,-1,712,1,0,0,0,91,15,8,4
741304,47.5745,-117.4677,0,133,621,4,0,0,0,91,26,24,11
741305,47.6006,-117.4801,0,-1,708,1,0,0,0,103,24,24,10
741306,47.5562,-117.4941,0,291,650,3,0,0,0,91,33,49,12
741307,47.5626,-117.4938,0,-1,647,2,0,0,0,101,80,89,38
741308,47.5626,-117.4938,0,-1,647,2,0,0,0,101,80,89,38
741309,47.5989,-117.501,0,-1,713,1,0,0,0,121,36,32,22
741310,47.5423,-117.4843,35,243,664,16,6,24,35,162,0,0,0
741311,47.5979,-117.4595,45,129,669,8,8,12,45,188,21,8,6
741312,47.55219,-117.4758,35,19,704,7,6,36,35,122,112,89,44
741313,47.56886,-117.4914,0,138,649,9,0,0,0,122,82,49,32
741314,47.53164,-117.4928,35,16,701,4,6,10,35,162,38,24,9
741315,47.59353,-117.4959,0,-1,714,0,0,0,0,91,741,324,235
741316,47.60726,-117.5011,35,-1,714,1,6,24,35,162,61,65,27
741317,47.57678,-117.4632,45,-1,615,2,8,13,45,183,96,89,41
741318,47.53734,-117.4599,0,-1,717,0,0,0,0,142,68,73,32
741319,47.53559,-117.4632,25,-1,718,2,6,6,25,185,22,57,22
741320,47.56012001,-117.4574,0,-1,711,0,0,0,0,102,0,0,0
741321,47.56375,-117.45751,0,-1,711,1,0,0,0,123,88,81,37
741322,47.58547,-117.45764,45,122,605,3,8,12,45,188,83,57,22
741323,47.58547,-117.45764,45,122,605,3,8,12,45,188,83,57,22
741326,47.54545,-117.81949,35,-1,726,0,9,3,35,183,0,0,0
741327,47.53765,-117.8186,0,-1,730,0,0,0,0,122,0,0,0
741328,47.5436,-117.8112,0,183,725,5,0,0,0,91,28,24,12
741329,47.5951,-117.8029,45,176,734,4,12,3,45,183,22,16,5
741330,47.56376,-117.79823,0,289,750,8,0,0,0,123,0,0,0
741331,47.57936,-117.7892,0,-1,745,1,0,0,0,102,0,0,0
741332,47.56744,-117.77144,0,-1,751,1,0,0,0,93,0,0,0
741333,47.59603,-117.7703,0,-1,742,2,0,0,0,122,7,16,4
741334,47.55651,-117.76593,0,-1,756,2,0,0,0,123,0,0,0
741335,47.57374289,-117.7624692,0,-1,748,0,0,0,0,122,0,0,0
741336,47.63071,-117.7577,0,-1,734,1,0,0,0,123,0,0,0
741337,47.5309,-117.747,0,232,735,3,0,0,0,91,0,0,0
741338,47.5598,-117.7466,0,-1,742,2,0,0,0,142,0,0,0
741339,47.57897,-117.7354,0,280,832,14,0,0,0,102,0,0,0
741340,47.6134,-117.7309,35,-1,720,0,9,4,35,183,141,97,44
741341,47.59,-117.73,0,-1,744,2,0,0,0,102,0,0,0
741342,47.5447,-117.7279,0,228,818,5,0,0,0,101,0,0,0
741343,47.59488809,-117.7263386,0,-1,741,1,0,0,0,91,0,0,0
741344,47.60746,-117.723,0,-1,725,1,0,0,0,93,0,0,0
741345,47.57477,-117.7227,0,175,853,13,0,0,0,102,0,0,0
741346,47.62112,-117.7213,45,339,723,3,8,3,45,188,38,41,13
741347,47.58792,-117.7363,0,-1,748,0,0,0,0,91,17,32,2
741349,47.5581,-117.6028,0,-1,734,2,0,0,0,91,149,122,59
741350,47.5525,-117.6017,0,34,730,4,0,0,0,121,92,82,35
741351,47.5601,-117.5969,25,-1,731,1,6,6,25,186,446,470,310
741352,47.561653,-117.596167,0,-1,733,1,0,0,0,91,437,316,206
741353,47.5595,-117.5954,0,273,736,3,0,0,0,91,555,503,329
741354,47.54515,-117.5945,35,57,739,16,6,10,35,162,26,29,12
741355,47.54554998,-117.5942,0,51,727,6,0,0,0,122,11,12,5
741356,47.56008999,-117.5942,0,272,740,4,0,0,0,91,643,511,329
741357,47.56511,-117.5931,0,294,739,4,0,0,0,91,113,73,43
741358,47.5773,-117.5905,0,-1,742,0,0,0,0,122,0,0,0
741359,47.54191,-117.58887,0,-1,726,0,0,0,0,102,55,32,14
741360,47.5346,-117.58354,45,25,732,4,8,25,45,188,15,16,7
741361,47.53099,-117.5781,0,50,727,3,0,0,0,102,14,8,3
741362,47.55617,-117.55379,35,261,792,12,6,17,35,162,0,0,0
741363,47.54176,-117.55336,0,82,785,9,0,0,0,102,0,0,0
741364,47.53092,-117.5531,0,-1,744,2,0,0,0,102,50,41,17
741365,47.5434,-117.5519,0,205,800,7,0,0,0,141,0,0,0
741366,47.5434,-117.5519,0,205,800,7,0,0,0,141,0,0,0
741367,47.541,-117.5491,35,91,779,10,9,3,35,162,0,0,0
741368,47.56668,-117.54902,0,67,754,6,0,0,0,102,40,32,14
741369,47.5755,-117.5484,0,-1,749,1,0,0,0,91,519,212,207
741370,47.54169,-117.54801,35,259,785,9,6,24,35,162,0,41,0
741371,47.57739,-117.54377,0,185,772,4,0,0,0,91,820,260,264
